step,time_s,phase,wall_step_ms,outer_euler_residual_norm,inner_euler_residual_norm,euler_residual_norm_max,contact_current_error,contact_current_iterations,theta_beta_rad,theta_beta_deg,theta_tip_rad,theta_tip_deg,inner_interp_frame_0,inner_interp_frame_1,inner_interp_alpha,inner_to_outer_tip_distance_m,outer_tip_x_m,outer_tip_y_m,outer_tip_z_m,inner_pseudo_tip_x_m,inner_pseudo_tip_y_m,inner_pseudo_tip_z_m
1,0.005,initializing,19.528199918568134,0.0,4.036609130652379e-06,4.036609130652379e-06,0.0,0.0,0.0,0.0,0.0,0.0,59,60,1.0,4.951260580807909e-05,0.16968873188886147,0.0037284655940565807,-0.0,0.16964080483436267,0.0037160359689224296,0.0
2,0.01,initializing,13.907999964430928,0.0,4.089314261864204e-06,4.089314261864204e-06,0.0,0.0,0.0,0.0,0.0,0.0,59,60,1.0,0.00017174373625442984,0.16968873188886147,0.0037284655940565807,-0.0,0.1695374022199875,0.0036472544971477947,0.0
3,0.015,initializing,20.80739999655634,0.0,4.2497191114732675e-06,4.2497191114732675e-06,1.497979456603209e-06,501.0,0.0,0.0,0.0,0.0,59,60,0.9780444585504583,0.0014478703203850026,0.169689578030207,0.003675975497112725,-0.0,0.1692551278109633,0.00505712772320906,0.0
4,0.02,initializing,19.35010007582605,0.00011559236690742602,0.00011316486888796973,0.00011559236690742602,1.1331049999414008e-05,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009379771616484835,0.16967600580612824,0.003960350071789841,-0.0,0.1693296922052055,0.004832054176168195,0.0
5,0.025,initializing,20.963499904610217,0.0004464372947178508,0.00044565193133635133,0.0004464372947178508,3.5798572152086735e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009260672061129356,0.16966930011367162,0.004017488567573324,-0.0,0.16930923319365426,0.004870689765033237,0.0
6,0.030000000000000002,initializing,22.580499993637204,0.00019952237780319164,0.0001988872290149807,0.00019952237780319164,1.3494231460825966e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009318020613974741,0.16966214700371063,0.004156924551909256,-0.0,0.16927793791793433,0.005005828822149148,0.0
7,0.035,initializing,20.447000046260655,0.00021155890155269262,0.00021148222135139268,0.00021155890155269262,4.829973510133186e-07,315.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009418408033244251,0.16965455194827217,0.004316585042294942,-0.0,0.1692425212848521,0.005163517643632504,0.0
8,0.04,initializing,22.552000009454787,0.00035326704606026665,0.000353102293312636,0.00035326704606026665,2.0147885475932583e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009473664850328178,0.16964714013875482,0.004444696481793343,-0.0,0.1692200605770345,0.005290336065140898,0.0
9,0.045,initializing,20.35569993313402,0.00031748689978362295,0.0003173919322620047,0.00031748689978362295,7.638911291912741e-07,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009517287401605179,0.1696397810021364,0.004580105815715766,-0.0,0.16919696730889305,0.005422544910204929,0.0
10,0.049999999999999996,initializing,20.000599906779826,0.0004652769266448821,0.00046517724011981167,0.0004652769266448821,2.8611358606297513e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009557154125879525,0.16963253859226976,0.004710504678560323,-0.0,0.16917478202084632,0.005549462884418528,0.0
11,0.05499999999999999,initializing,19.79140006005764,0.0006003039645220288,0.0006002062513142107,0.0006003039645220288,1.3974301318570952e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009593077361434957,0.16962542948063147,0.00483619378209607,-0.0,0.16915390013125298,0.005671616672193924,0.0
12,0.05999999999999999,initializing,21.46249997895211,0.0007255924776717091,0.0007254967017758376,0.0007255924776717091,4.212071929198977e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009639854024740746,0.16961849242435598,0.004955797526653486,-0.0,0.16913502617866863,0.005789780887077473,0.0
13,0.06499999999999999,initializing,21.71020000241697,0.0008310832258556435,0.0008309889672982154,0.0008310832258556435,6.917185874389965e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009677015787172067,0.1696117439238068,0.005069777753859853,-0.0,0.1691180605008298,0.0059020775936588915,0.0
14,0.06999999999999999,initializing,19.73349996842444,0.0009384192410669929,0.0009383272621475591,0.0009384192410669929,7.689310982055376e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009708053273945041,0.16960520534405188,0.005178305913708513,-0.0,0.1691023421412177,0.006008722425425913,0.0
15,0.075,initializing,19.778199959546328,0.00104177091876548,0.0010416817974226802,0.00104177091876548,8.681160467656683e-06,501.0,0.0,0.0,0.0,0.0,59,60,1.0,0.0009724039795416972,0.16959888058097414,0.005281552500871057,-0.0,0.16908760921552077,0.006108698854484477,0.0
