step,time,phase,dt,translation_step_um,t1_base_x,t1_ctrl_x,t1_lag_x,t1_base_trans_delta_m,t1_base_rot_delta_rad,t1_strain_err_max,t1_strain_err_mean,t1_kappa_mean_curved_1pm,t1_kappa_rest_mean_curved_1pm,t1_kappa_rel_error,t1_frame_delta_max_m,t1_frame_delta_mean_m,t2_base_x,t2_ctrl_x,t2_lag_x,t2_advance_m,estimated_protrusion_m,t2_strain_err_max_all,t2_strain_err_mean_all,t2_strain_err_max_protruded,t2_strain_err_mean_protruded,t2_kappa_mean_protruded_curved_1pm,t2_kappa_rest_mean_protruded_curved_1pm,t2_kappa_rel_err_exposed_curved,t2_tip_x,t2_tip_y,t2_tip_z,contact_pairs,active_like_pairs,min_gap,max_gap,mean_gap,gap_sign,activation_tolerance,active_impulse_pairs,normal_impulse_sum,normal_impulse_max,normal_force_sum_N,normal_force_max_N
20,0.1,initializing,0.005,1000,-3.21268567e-09,0,3.21268567e-09,3.21280125e-09,0,0.241436066,0.159702104,8.44461441,8.33333333,1.33537287,0.00199400054,0.000549948544,-0.159999997,-0.16,-3.21253951e-09,3.21253951e-09,6.42522519e-09,33.59798,11.9482119,0,0,0,0,0,0.169022364,0.00653694268,-0,31,17,-2.50202516e-06,0.000501847756,0.000115081423,-1,0.0001,17,0.0160015294,0.00443334659,3.20030587,0.886669317
40,0.2,initializing,0.005,1000,-5.83598138e-09,0,5.83598138e-09,5.83618272e-09,0,0.334963653,0.22901586,8.49640319,8.33333333,1.95683823,0.00287845127,0.000802064661,-0.159999994,-0.16,-5.83591395e-09,5.83591395e-09,1.16718953e-08,33.2490403,11.7866905,0,0,0,0,0,0.168875012,0.00739261988,-0,31,26,-5.302284e-07,0.000422872833,6.629913e-05,-1,0.0001,25,0.0168373578,0.0044454383,3.36747156,0.889087661
60,0.3,initializing,0.005,1000,-6.9912042e-09,0,6.9912042e-09,6.99147326e-09,0,0.365055579,0.250975843,8.51585597,8.33333333,2.19027161,0.00313855595,0.000871032432,-0.159999993,-0.16,-6.99117467e-09,6.99117467e-09,1.39823789e-08,33.1033997,11.7442686,0,0,0,0,0,0.168829072,0.00764570186,-0,31,28,-3.43626754e-07,0.000407087688,4.82942176e-05,-1,0.0001,28,0.01685282,0.00474213792,3.37056399,0.948427584
80,0.4,initializing,0.005,1000,-7.55212203e-09,0,7.55212203e-09,7.55242644e-09,0,0.375868445,0.257814146,8.52284703,8.33333333,2.27416434,0.00321342572,0.000889225026,-0.159999992,-0.16,-7.55210966e-09,7.55210966e-09,1.51042317e-08,33.0532088,11.7328238,0,0,0,0,0,0.168816322,0.00771831797,-0,31,28,-3.13964579e-07,0.000401047468,4.34650619e-05,-1,0.0001,28,0.0168695491,0.00474990967,3.37390981,0.949981934
100,0.5,initializing,0.005,1000,-7.66778631e-09,0,7.66778631e-09,7.66810388e-09,0,0.380030131,0.25993086,8.52523795,8.33333333,2.30285535,0.00323389424,0.000893300711,-0.159999992,-0.16,-7.6677813e-09,7.6677813e-09,1.53355676e-08,33.0359475,11.7291905,0,0,0,0,0,0.168812282,0.00773789421,-0,31,28,-3.92546233e-07,0.000398871456,4.1768747e-05,-1,0.0001,28,0.0169337508,0.00473564459,3.38675016,0.947128919
120,0.6,initializing,0.005,1000,-7.82822403e-09,0,7.82822403e-09,7.82854886e-09,0,0.381288176,0.26053998,8.5259833,8.33333333,2.31179966,0.00323937522,0.000894278385,-0.159999992,-0.16,-7.82822196e-09,7.82822196e-09,1.5656446e-08,33.0306855,11.728623,0,0,0,0,0,0.168811275,0.00774364289,-0,31,28,-2.71810185e-07,0.000397992322,4.14186654e-05,-1,0.0001,28,0.0168124355,0.00478989049,3.36248709,0.957978098
140,0.7,initializing,0.005,1000,-8.34659108e-09,0,8.34659108e-09,8.34692595e-09,0,0.381030044,0.260483272,8.52595259,8.33333333,2.3114311,0.0032394409,0.000894660006,-0.159999992,-0.16,-8.34659017e-09,8.34659017e-09,1.66931812e-08,33.0317685,11.7298172,0,0,0,0,0,0.168811929,0.00774420312,-0,31,28,-2.64064961e-07,0.000397451747,4.1822288e-05,-1,0.0001,28,0.0167208432,0.00482340201,3.34416863,0.964680401
160,0.8,initializing,0.005,1000,-8.60725325e-09,0,8.60725325e-09,8.60759272e-09,0,0.380823103,0.260416789,8.52589738,8.33333333,2.31076856,0.00323906547,0.000894754332,-0.159999991,-0.16,-8.60725294e-09,8.60725294e-09,1.72145062e-08,33.0331698,11.7304702,0,0,0,0,0,0.168812316,0.0077439414,-0,31,28,-2.58238409e-07,0.000397233634,4.20010571e-05,-1,0.0001,28,0.0167154759,0.00482492031,3.34309518,0.964984061
180,0.9,initializing,0.005,1000,-8.71823454e-09,0,8.71823454e-09,8.71857582e-09,0,0.380734074,0.260390429,8.52587361,8.33333333,2.31048329,0.00323895416,0.00089481511,-0.159999991,-0.16,-8.71823438e-09,8.71823438e-09,1.74364689e-08,33.0337233,11.7307543,0,0,0,0,0,0.168812473,0.00774387654,-0,31,28,-2.55814454e-07,0.000397149599,4.20712401e-05,-1,0.0001,28,0.0167135047,0.0048254407,3.34270094,0.965088139
200,1,initializing,0.005,1000,-8.76487831e-09,0,8.76487831e-09,8.76522032e-09,0,0.380696974,0.260380322,8.52586391,8.33333333,2.31036695,0.00323892752,0.000894848669,-0.159999991,-0.16,-8.76487827e-09,8.76487827e-09,1.75297566e-08,33.0339386,11.7308717,0,0,0,0,0,0.168812536,0.00774386848,-0,31,28,-2.54657275e-07,0.000397117125,4.2098581e-05,-1,0.0001,28,0.0167128871,0.00482556698,3.34257742,0.965113397
220,1.1,initializing,0.005,1000,-8.78405612e-09,0,8.78405612e-09,8.78439842e-09,0,0.380682197,0.260376648,8.52586026,8.33333333,2.31032308,0.00323892463,0.000894865355,-0.159999991,-0.16,-8.78405612e-09,8.78405612e-09,1.75681122e-08,33.0340194,11.7309181,0,0,0,0,0,0.16881256,0.00774387279,-0,31,28,-2.54151503e-07,0.000397104668,4.21088838e-05,-1,0.0001,28,0.0167126869,0.00482559807,3.34253738,0.965119613
240,1.2,initializing,0.005,1000,-8.79193573e-09,0,8.79193573e-09,8.79227814e-09,0,0.380676321,0.260375307,8.52585889,8.33333333,2.31030668,0.00323892619,0.000894873183,-0.159999991,-0.16,-8.79193571e-09,8.79193571e-09,1.75838714e-08,33.0340499,11.7309362,0,0,0,0,0,0.16881257,0.00774387715,-0,31,28,-2.53958636e-07,0.000397099867,4.21127993e-05,-1,0.0001,28,0.0167126051,0.00482561015,3.34252102,0.96512203
260,1.3,initializing,0.005,1000,-8.79517878e-09,0,8.79517878e-09,8.79552123e-09,0,0.380673972,0.260374807,8.52585838,8.33333333,2.31030051,0.00323892768,0.000894876703,-0.159999991,-0.16,-8.79517875e-09,8.79517875e-09,1.75903575e-08,33.0340616,11.7309433,0,0,0,0,0,0.168812573,0.00774387972,-0,31,28,-2.5388491e-07,0.000397098007,4.21143013e-05,-1,0.0001,28,0.0167125715,0.00482561488,3.3425143,0.965122977
280,1.4,initializing,0.005,1000,-8.796516e-09,0,8.796516e-09,8.79685848e-09,0,0.380673028,0.260374617,8.52585818,8.33333333,2.31029818,0.00323892855,0.000894878245,-0.159999991,-0.16,-8.79651602e-09,8.79651602e-09,1.7593032e-08,33.034066,11.730946,0,0,0,0,0,0.168812575,0.00774388101,-0,31,28,-2.53856618e-07,0.000397097283,4.21148825e-05,-1,0.0001,28,0.0167125576,0.00482561674,3.34251152,0.965123348
300,1.5,initializing,0.005,1000,-8.79706841e-09,0,8.79706841e-09,8.79741089e-09,0,0.380672647,0.260374543,8.52585811,8.33333333,2.3102973,0.00323892898,0.000894878909,-0.159999991,-0.16,-8.79706843e-09,8.79706843e-09,1.75941368e-08,33.0340678,11.7309471,0,0,0,0,0,0.168812575,0.00774388162,-0,31,28,-2.53845663e-07,0.000397097001,4.21151093e-05,-1,0.0001,28,0.0167125519,0.00482561747,3.34251038,0.965123495
320,1.6,initializing,0.005,1000,-8.79729703e-09,0,8.79729703e-09,8.79763951e-09,0,0.380672492,0.260374515,8.52585808,8.33333333,2.31029696,0.00323892919,0.000894879193,-0.159999991,-0.16,-8.79729703e-09,8.79729703e-09,1.75945941e-08,33.0340685,11.7309475,0,0,0,0,0,0.168812576,0.00774388189,-0,31,28,-2.53841485e-07,0.000397096889,4.21151985e-05,-1,0.0001,28,0.0167125495,0.00482561776,3.3425099,0.965123553
340,1.7,initializing,0.005,1000,-8.79739179e-09,0,8.79739179e-09,8.79773428e-09,0,0.380672429,0.260374503,8.52585807,8.33333333,2.31029684,0.00323892928,0.000894879313,-0.159999991,-0.16,-8.79739173e-09,8.79739173e-09,1.75947835e-08,33.0340687,11.7309476,0,0,0,0,0,0.168812576,0.007743882,-0,31,28,-2.53839821e-07,0.000397096846,4.21152338e-05,-1,0.0001,28,0.0167125485,0.00482561788,3.3425097,0.965123576
360,1.8,initializing,0.005,1000,-8.79743113e-09,0,8.79743113e-09,8.79777361e-09,0,0.380672404,0.260374498,8.52585807,8.33333333,2.31029679,0.00323892932,0.000894879364,-0.159999991,-0.16,-8.79743109e-09,8.79743109e-09,1.75948622e-08,33.0340688,11.7309477,0,0,0,0,0,0.168812576,0.00774388206,-0,31,28,-2.5383918e-07,0.000397096828,4.21152479e-05,-1,0.0001,28,0.0167125481,0.00482561792,3.34250962,0.965123585
380,1.9,initializing,0.005,1000,-8.79744747e-09,0,8.79744747e-09,8.79778996e-09,0,0.380672393,0.260374496,8.52585806,8.33333333,2.31029677,0.00323892934,0.000894879386,-0.159999991,-0.16,-8.79744744e-09,8.79744744e-09,1.75948949e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.00774388208,-0,31,28,-2.53838918e-07,0.000397096821,4.21152535e-05,-1,0.0001,28,0.0167125479,0.00482561794,3.34250959,0.965123588
400,2,initializing,0.005,1000,-8.79745427e-09,0,8.79745427e-09,8.79779676e-09,0,0.380672389,0.260374496,8.52585806,8.33333333,2.31029676,0.00323892935,0.000894879395,-0.159999991,-0.16,-8.79745432e-09,8.79745432e-09,1.75949086e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.00774388209,-0,31,28,-2.53838814e-07,0.000397096819,4.21152558e-05,-1,0.0001,28,0.0167125479,0.00482561795,3.34250958,0.96512359
420,2.1,initializing,0.005,1000,-8.7974571e-09,0,8.7974571e-09,8.79779959e-09,0,0.380672387,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892935,0.0008948794,-0.159999991,-0.16,-8.79745701e-09,8.79745701e-09,1.75949141e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.00774388209,-0,31,28,-2.5383879e-07,0.000397096818,4.21152567e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.96512359
440,2.2,initializing,0.005,1000,-8.79745828e-09,0,8.79745828e-09,8.79780077e-09,0,0.380672387,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892936,0.000894879402,-0.159999991,-0.16,-8.7974584e-09,8.7974584e-09,1.75949167e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.0077438821,-0,31,28,-2.53838771e-07,0.000397096817,4.2115257e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.965123591
460,2.3,initializing,0.005,1000,-8.79745878e-09,0,8.79745878e-09,8.79780126e-09,0,0.380672386,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892936,0.000894879404,-0.159999991,-0.16,-8.79745896e-09,8.79745896e-09,1.75949177e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.0077438821,-0,31,28,-2.53838762e-07,0.000397096817,4.21152572e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.965123591
480,2.4,initializing,0.005,1000,-8.79745898e-09,0,8.79745898e-09,8.79780147e-09,0,0.380672386,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892936,0.000894879405,-0.159999991,-0.16,-8.79745896e-09,8.79745896e-09,1.75949179e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.0077438821,-0,31,28,-2.53838758e-07,0.000397096817,4.21152572e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.965123591
500,2.5,initializing,0.005,1000,-8.79745907e-09,0,8.79745907e-09,8.79780156e-09,0,0.380672386,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892936,0.000894879406,-0.159999991,-0.16,-8.79745896e-09,8.79745896e-09,1.7594918e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.0077438821,-0,31,28,-2.53838758e-07,0.000397096817,4.21152573e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.965123591
520,2.6,initializing,0.005,1000,-8.7974591e-09,0,8.7974591e-09,8.79780159e-09,0,0.380672386,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892936,0.000894879407,-0.159999991,-0.16,-8.79745896e-09,8.79745896e-09,1.75949181e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.00774388211,-0,31,28,-2.53838758e-07,0.000397096817,4.21152573e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.965123591
540,2.7,initializing,0.005,1000,-8.79745912e-09,0,8.79745912e-09,8.79780161e-09,0,0.380672386,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892936,0.000894879407,-0.159999991,-0.16,-8.79745896e-09,8.79745896e-09,1.75949181e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.00774388211,-0,31,28,-2.53838756e-07,0.000397096817,4.21152573e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.965123591
560,2.8,initializing,0.005,1000,-8.79745913e-09,0,8.79745913e-09,8.79780161e-09,0,0.380672386,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892937,0.000894879408,-0.159999991,-0.16,-8.79745896e-09,8.79745896e-09,1.75949181e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.00774388211,-0,31,28,-2.53838755e-07,0.000397096817,4.21152573e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.965123591
580,2.9,initializing,0.005,1000,-8.79745913e-09,0,8.79745913e-09,8.79780162e-09,0,0.380672386,0.260374495,8.52585806,8.33333333,2.31029676,0.00323892937,0.000894879409,-0.159999991,-0.16,-8.79745896e-09,8.79745896e-09,1.75949181e-08,33.0340689,11.7309477,0,0,0,0,0,0.168812576,0.00774388211,-0,31,28,-2.53838756e-07,0.000397096817,4.21152573e-05,-1,0.0001,28,0.0167125478,0.00482561795,3.34250957,0.965123591
600,2.996,control,0.001,1000,-8.79431373e-09,0,8.79431373e-09,8.79465698e-09,0,0.38064769,0.260377167,8.52587433,8.33333333,2.3104919,0.0032389372,0.000894880042,-0.159999991,-0.16,-8.79431361e-09,8.79431361e-09,1.75886273e-08,33.0344736,11.7309614,0,0,0,0,0,0.168812615,0.00774390428,-0,31,28,-1.05259979e-07,0.000396873297,4.21264449e-05,-1,0.0001,28,0.000675033703,0.000198046915,0.675033703,0.198046915
620,3.016,control,0.001,1000,-8.6470114e-09,0,8.6470114e-09,8.64735441e-09,0,0.380950991,0.260496865,8.52597144,8.33333333,2.31165733,0.0032393004,0.000894577206,-0.159999991,-0.16,-8.64700908e-09,8.64700908e-09,1.72940205e-08,33.0331264,11.730907,0,0,0,0,0,0.168812208,0.00774411113,-0,31,28,-4.27435438e-08,0.000396773867,4.1824152e-05,-1,0.0001,28,0.00336345305,0.000956961285,3.36345305,0.956961285
640,3.036,control,0.001,1000,-8.43619729e-09,0,8.43619729e-09,8.43653641e-09,0,0.381120504,0.260567993,8.52601108,8.33333333,2.31213291,0.00323962396,0.000894434955,-0.159999992,-0.16,-8.43619535e-09,8.43619535e-09,1.68723926e-08,33.0322082,11.7307261,0,0,0,0,0,0.168811981,0.00774434109,-0,31,28,-5.41155052e-08,0.000396836466,4.16885552e-05,-1,0.0001,28,0.00338294358,0.000954722338,3.38294358,0.954722338
660,3.056,control,0.001,1000,-8.13463314e-09,0,8.13463314e-09,8.13496737e-09,0,0.381406679,0.260665805,8.52610707,8.33333333,2.31328487,0.00323987857,0.00089413728,-0.159999992,-0.16,-8.13463161e-09,8.13463161e-09,1.62692647e-08,33.030933,11.73015,0,0,0,0,0,0.168811573,0.00774435852,-0,31,28,-9.37156998e-08,0.000396922521,4.14365744e-05,-1,0.0001,28,0.00345838219,0.000922763883,3.45838219,0.922763883
680,3.076,control,0.001,1000,-7.81967113e-09,0,7.81967113e-09,7.82000024e-09,0,0.381786684,0.260793,8.52624757,8.33333333,2.31497089,0.00324035004,0.000893857711,-0.159999992,-0.16,-7.81966997e-09,7.81966997e-09,1.56393411e-08,33.0293868,11.7294588,0,0,0,0,0,0.16881106,0.00774468343,-0,31,28,-9.33805443e-08,0.000397027922,4.11864155e-05,-1,0.0001,28,0.00345383891,0.000926196906,3.45383891,0.926196906
700,3.096,control,0.001,1000,-7.43840626e-09,0,7.43840626e-09,7.43872964e-09,0,0.38227147,0.26095137,8.52643527,8.33333333,2.31722326,0.00324093887,0.00089351744,-0.159999993,-0.16,-7.43840525e-09,7.43840525e-09,1.48768115e-08,33.0275225,11.7285232,0,0,0,0,0,0.168810405,0.00774514611,-0,31,28,-6.71957655e-08,0.00039721922,4.09131994e-05,-1,0.0001,28,0.00346644803,0.00091599638,3.46644803,0.91599638
720,3.116,control,0.001,1000,-7.19584841e-09,0,7.19584841e-09,7.19616796e-09,0,0.382589939,0.261072558,8.52655375,8.33333333,2.31864505,0.00324166735,0.000893427161,-0.159999993,-0.16,-7.19584761e-09,7.19584761e-09,1.4391696e-08,33.0262681,11.7280152,0,0,0,0,0,0.168809982,0.00774568583,-0,31,28,-9.34245513e-08,0.000397233564,4.06726021e-05,-1,0.0001,28,0.00343106734,0.000929436142,3.43106734,0.929436142
740,3.136,control,0.001,1000,-7.05294075e-09,0,7.05294075e-09,7.05325791e-09,0,0.382793178,0.261154648,8.52661892,8.33333333,2.31942709,0.00324228786,0.00089344285,-0.159999993,-0.16,-7.05293998e-09,7.05293998e-09,1.41058807e-08,33.0254149,11.7278207,0,0,0,0,0,0.168809743,0.00774639429,-0,31,28,-3.63180188e-08,0.000397296253,4.06215337e-05,-1,0.0001,28,0.00336920273,0.000961545445,3.36920273,0.961545445
760,3.156,control,0.001,1000,-7.12853017e-09,0,7.12853017e-09,7.12884839e-09,0,0.382611975,0.261123687,8.52651847,8.33333333,2.31822169,0.00324250725,0.000893690677,-0.159999993,-0.16,-7.12852943e-09,7.12852943e-09,1.42570596e-08,33.0258792,11.7283309,0,0,0,0,0,0.168810003,0.00774671904,-0,31,28,-3.59074346e-08,0.000397260511,4.07540067e-05,-1,0.0001,28,0.00336538086,0.000962745287,3.36538086,0.962745287
780,3.176,control,0.001,1000,-7.19944702e-09,0,7.19944702e-09,7.19976645e-09,0,0.3824126,0.261064413,8.52640997,8.33333333,2.31691961,0.00324225713,0.000893773201,-0.159999993,-0.16,-7.19944646e-09,7.19944646e-09,1.43988935e-08,33.0264163,11.7287796,0,0,0,0,0,0.168810285,0.00774655932,-0,31,28,-3.40244508e-08,0.000397231153,4.0881124e-05,-1,0.0001,28,0.00336423689,0.00096299299,3.36423689,0.96299299
800,3.196,control,0.001,1000,-7.26441023e-09,0,7.26441023e-09,7.26473077e-09,0,0.382235618,0.261002695,8.52631615,8.33333333,2.31579378,0.00324185244,0.000893776796,-0.159999993,-0.16,-7.26440974e-09,7.26440974e-09,1.452882e-08,33.0268996,11.7291551,0,0,0,0,0,0.168810538,0.00774623258,-0,31,28,-3.22570192e-08,0.000397204537,4.09892869e-05,-1,0.0001,28,0.00336317556,0.000963264653,3.36317556,0.963264653
