step,time,phase,dt,translation_step_um,t1_base_x,t1_ctrl_x,t1_lag_x,t1_base_trans_delta_m,t1_base_rot_delta_rad,t1_strain_err_max,t1_strain_err_mean,t1_kappa_mean_curved_1pm,t1_kappa_rest_mean_curved_1pm,t1_kappa_rel_error,t1_frame_delta_max_m,t1_frame_delta_mean_m,t2_base_x,t2_ctrl_x,t2_lag_x,t2_advance_m,estimated_protrusion_m,t2_strain_err_max_all,t2_strain_err_mean_all,t2_strain_err_max_exposed,t2_strain_err_mean_exposed,t2_kappa_mean_exposed_curved_1pm,t2_kappa_rest_mean_exposed_curved_1pm,t2_kappa_rel_err_exposed_curved,t2_tip_x,t2_tip_y,t2_tip_z,contact_pairs,active_like_pairs,min_gap,max_gap,mean_gap,gap_sign,activation_tolerance,active_lambda_pairs,normal_lambda_sum,normal_lambda_max,normal_force_sum_N,normal_force_max_N
20,0.002,initializing,0.0001,50,-7.61271835e-10,0,7.61271835e-10,7.71976777e-10,0,0.161551738,0.107160514,8.38835001,8.33333333,0.660200159,0.0013595073,0.000387440576,-0.159999999,-0.16,-7.61329333e-10,7.61329333e-10,1.52260117e-09,16.6862882,6.71824933,0,0,0,0,0,0.16922756,0.00596005446,-0,30,21,-5.42025343e-06,0.000833004163,0.000140962797,-1,0.0001,21,1.3223256,0.360000472,1.3223256,0.360000472
40,0.004,initializing,0.0001,50,-1.61823072e-09,0,1.61823072e-09,1.62343621e-09,0,0.182713973,0.13210906,8.39729465,8.33333333,0.767535836,0.00188377301,0.000579565453,-0.159999998,-0.16,-1.6182477e-09,1.6182477e-09,3.23647842e-09,16.6752355,6.72178867,0,0,0,0,0,0.169198233,0.00648861198,-0,30,21,-3.22096767e-06,0.000806684474,0.000142956387,-1,0.0001,21,1.31382459,0.356084417,1.31382459,0.356084417
60,0.006,initializing,0.0001,50,-1.67537895e-09,0,1.67537895e-09,1.68038236e-09,0,0.188890934,0.139926944,8.39940915,8.33333333,0.792909743,0.0020245088,0.000631377769,-0.159999998,-0.16,-1.67538344e-09,1.67538344e-09,3.3507624e-09,16.6703391,6.72046972,0,0,0,0,0,0.169189297,0.00662967516,-0,30,21,-3.20717035e-06,0.000803931039,0.000143160071,-1,0.0001,21,1.31487708,0.355673305,1.31487708,0.355673305
80,0.008,initializing,0.0001,50,-1.6719458e-09,0,1.6719458e-09,1.67694161e-09,0,0.190657089,0.142035804,8.39993286,8.33333333,0.799194301,0.0020625509,0.000645377155,-0.159999998,-0.16,-1.671947e-09,1.671947e-09,3.34389279e-09,16.6688482,6.71973218,0,0,0,0,0,0.169186845,0.00666762873,-0,30,21,-3.19042928e-06,0.000803647173,0.000143182902,-1,0.0001,21,1.3154256,0.355622903,1.3154256,0.355622903
100,0.01,initializing,0.0001,50,-1.67001356e-09,0,1.67001356e-09,1.67500946e-09,0,0.19108402,0.142591,8.40005079,8.33333333,0.800609508,0.00207277044,0.000649173354,-0.159999998,-0.16,-1.67001388e-09,1.67001388e-09,3.34002744e-09,16.6695093,6.71942938,0,0,0,0,0,0.169186136,0.00667780537,-0,30,21,-3.17477475e-06,0.00080378439,0.000143153913,-1,0.0001,21,1.31559978,0.355599787,1.31559978,0.355599787
120,0.012,initializing,0.0001,50,-1.67097302e-09,0,1.67097302e-09,1.67596521e-09,0,0.191244397,0.142752792,8.40010845,8.33333333,0.801301455,0.00207553116,0.000650165239,-0.159999998,-0.16,-1.67097311e-09,1.67097311e-09,3.34194613e-09,16.6686134,6.71937379,0,0,0,0,0,0.169185984,0.00668058916,-0,30,21,-3.18536166e-06,0.00080366219,0.000143178148,-1,0.0001,21,1.31563111,0.355588141,1.31563111,0.355588141
140,0.014,initializing,0.0001,50,-1.68155773e-09,0,1.68155773e-09,1.68652758e-09,0,0.191399496,0.142774853,8.4001201,8.33333333,0.801441237,0.00207629899,0.000650493748,-0.159999998,-0.16,-1.68155784e-09,1.68155784e-09,3.36311557e-09,16.6718443,6.71933386,0,0,0,0,0,0.169185942,0.00668131659,-0,30,21,-3.07334813e-06,0.000803775054,0.000143320509,-1,0.0001,21,1.31506955,0.355475141,1.31506955,0.355475141
160,0.016,initializing,0.0001,50,-1.66975667e-09,0,1.66975667e-09,1.67475142e-09,0,0.191255586,0.142796725,8.40010195,8.33333333,0.801223369,0.00207648191,0.000650539629,-0.159999998,-0.16,-1.66975667e-09,1.66975667e-09,3.33951333e-09,16.669377,6.71932118,0,0,0,0,0,0.169185897,0.00668150944,-0,30,21,-3.17325148e-06,0.000803775468,0.000143155412,-1,0.0001,21,1.31564526,0.355587753,1.31564526,0.355587753
180,0.018,initializing,0.0001,50,-1.67086959e-09,0,1.67086959e-09,1.67586157e-09,0,0.191291303,0.142808792,8.40012226,8.33333333,0.801467159,0.00207654161,0.000650537146,-0.159999998,-0.16,-1.67086961e-09,1.67086961e-09,3.3417392e-09,16.6685741,6.71934366,0,0,0,0,0,0.16918592,0.00668159525,-0,30,21,-3.18471506e-06,0.000803659535,0.000143178674,-1,0.0001,21,1.31564275,0.355584617,1.31564275,0.355584617
200,0.02,initializing,0.0001,50,-1.68153177e-09,0,1.68153177e-09,1.68650154e-09,0,0.191412247,0.142790083,8.40012385,8.33333333,0.801486158,0.00207657395,0.00065059497,-0.159999998,-0.16,-1.68153186e-09,1.68153186e-09,3.36306363e-09,16.6718343,6.71932529,0,0,0,0,0,0.169185925,0.00668159031,-0,30,21,-3.07317987e-06,0.000803774502,0.000143320666,-1,0.0001,21,1.31507237,0.355474121,1.31507237,0.355474121
220,0.022,initializing,0.0001,50,-1.66975231e-09,0,1.66975231e-09,1.67474704e-09,0,0.191259049,0.142800868,8.40010297,8.33333333,0.801235683,0.0020765568,0.000650567213,-0.159999998,-0.16,-1.66975231e-09,1.66975231e-09,3.33950462e-09,16.669374,6.71931877,0,0,0,0,0,0.169185892,0.00668158413,-0,30,21,-3.17321475e-06,0.000803775177,0.000143155465,-1,0.0001,21,1.31564597,0.355587444,1.31564597,0.355587444
240,0.024,initializing,0.0001,50,-1.67086792e-09,0,1.67086792e-09,1.6758599e-09,0,0.191292246,0.14280992,8.40012254,8.33333333,0.801470492,0.0020765621,0.000650544708,-0.159999998,-0.16,-1.67086794e-09,1.67086794e-09,3.34173587e-09,16.6685733,6.71934299,0,0,0,0,0,0.169185918,0.00668161565,-0,30,21,-3.1847025e-06,0.000803659489,0.000143178685,-1,0.0001,21,1.31564295,0.355584533,1.31564295,0.355584533
