step,time,phase,dt,translation_step_um,t1_base_x,t1_ctrl_x,t1_lag_x,t1_base_trans_delta_m,t1_base_rot_delta_rad,t1_strain_err_max,t1_strain_err_mean,t1_kappa_mean_curved_1pm,t1_kappa_rest_mean_curved_1pm,t1_frame_delta_max_m,t1_frame_delta_mean_m,t2_base_x,t2_ctrl_x,t2_lag_x,t2_advance_m,estimated_protrusion_m,t2_strain_err_max_all,t2_strain_err_mean_all,t2_strain_err_max_exposed,t2_strain_err_mean_exposed,t2_kappa_mean_exposed_curved_1pm,t2_kappa_rest_mean_exposed_curved_1pm,t2_tip_x,t2_tip_y,t2_tip_z,contact_pairs,active_like_pairs,min_gap,max_gap,mean_gap,gap_sign,activation_tolerance,active_impulse_pairs,normal_impulse_sum,normal_impulse_max,normal_force_sum_N,normal_force_max_N
20,0.1,initializing,0.005,50,-6.86622523e-10,0,6.86622523e-10,6.91329583e-10,0,0.319204681,0.222476042,8.41061113,8.33333333,0.00360560953,0.00122931988,-0.159999999,-0.16,-6.8633213e-10,6.8633213e-10,1.37295465e-09,16.6660476,6.75545216,0,0,0,0,0.169060702,0.00820098702,-0,0,0,0,0,0,-1,0.0001,21,0.00684007327,0.00200309564,1.36801465,0.400619128
40,0.2,initializing,0.005,50,-6.75753192e-10,0,6.75753192e-10,6.88234206e-10,0,0.172518579,0.120142071,8.39293564,8.33333333,0.00165195676,0.000495035276,-0.159999999,-0.16,-6.75803496e-10,6.75803496e-10,1.35155669e-09,16.6641388,6.69916976,0,0,0,0,0.169213364,0.00626588739,-0,0,0,0,0,0,-1,0.0001,21,0.00655530186,0.00178171858,1.31106037,0.356343716
60,0.3,initializing,0.005,50,-6.83278789e-10,0,6.83278789e-10,6.94566123e-10,0,0.180898552,0.129103597,8.395609,8.33333333,0.00182095126,0.000555624283,-0.159999999,-0.16,-6.83287926e-10,6.83287926e-10,1.36656672e-09,16.6714574,6.73754936,0,0,0,0,0.169192939,0.00642256043,-0,0,0,0,0,0,-1,0.0001,21,0.00672094943,0.0018388015,1.34418989,0.367760301
80,0.4,initializing,0.005,50,-6.93207096e-10,0,6.93207096e-10,7.02424416e-10,0,0.231959312,0.172032986,8.40617955,8.33333333,0.0026052677,0.000844634914,-0.159999999,-0.16,-6.93152036e-10,6.93152036e-10,1.38635913e-09,16.6462138,6.7016645,0,0,0,0,0.169145384,0.00720693457,-0,0,0,0,0,0,-1,0.0001,21,0.0067155749,0.00181172263,1.34311498,0.362344525
100,0.5,initializing,0.005,50,-6.77028562e-10,0,6.77028562e-10,6.88335805e-10,0,0.17047557,0.117207013,8.3923097,8.33333333,0.00158458778,0.000469315952,-0.159999999,-0.16,-6.7706668e-10,6.7706668e-10,1.35409524e-09,16.6703007,6.72819706,0,0,0,0,0.169212161,0.00619127878,-0,0,0,0,0,0,-1,0.0001,21,0.00665575689,0.00182468333,1.33115138,0.364936665
120,0.6,initializing,0.005,50,-6.90692949e-10,0,6.90692949e-10,7.00693632e-10,0,0.216217856,0.160600085,8.40337134,8.33333333,0.00239873609,0.000768511986,-0.159999999,-0.16,-6.9065792e-10,6.9065792e-10,1.38135087e-09,16.6537805,6.7157242,0,0,0,0,0.169157477,0.00699932678,-0,0,0,0,0,0,-1,0.0001,21,0.00672560248,0.00182158131,1.3451205,0.364316262
140,0.7,initializing,0.005,50,-6.82494367e-10,0,6.82494367e-10,6.92979976e-10,0,0.186191345,0.135825607,8.39730268,8.33333333,0.00195234849,0.000604456123,-0.159999999,-0.16,-6.82508827e-10,6.82508827e-10,1.36500319e-09,16.6596223,6.71493585,0,0,0,0,0.169189897,0.00655785787,-0,0,0,0,0,0,-1,0.0001,21,0.00666613828,0.00181513339,1.33322766,0.363026679
160,0.8,initializing,0.005,50,-6.85145336e-10,0,6.85145336e-10,6.95659191e-10,0,0.191245107,0.142193645,8.39886032,8.33333333,0.00206659889,0.000646260426,-0.159999999,-0.16,-6.85141527e-10,6.85141527e-10,1.37028686e-09,16.6627768,6.72516955,0,0,0,0,0.169179298,0.00666925513,-0,0,0,0,0,0,-1,0.0001,21,0.00670919279,0.00182855804,1.34183856,0.365711609
180,0.9,initializing,0.005,50,-6.86184966e-10,0,6.86184966e-10,6.96436172e-10,0,0.198191062,0.147300346,8.40011592,8.33333333,0.00215930508,0.000680594562,-0.159999999,-0.16,-6.86181029e-10,6.86181029e-10,1.37236599e-09,16.6548387,6.71047405,0,0,0,0,0.169176117,0.00676301653,-0,0,0,0,0,0,-1,0.0001,21,0.00668206794,0.00181265096,1.33641359,0.362530191
200,1,initializing,0.005,50,-6.83595454e-10,0,6.83595454e-10,6.9414659e-10,0,0.187951422,0.137970534,8.39782657,8.33333333,0.00199054043,0.000618321533,-0.159999999,-0.16,-6.83600482e-10,6.83600482e-10,1.36719594e-09,16.6633806,6.72381391,0,0,0,0,0.169185012,0.00659438077,-0,0,0,0,0,0,-1,0.0001,21,0.00669662124,0.00182685958,1.33932425,0.365371917
