# Contact-detection timing log
# label : classic_pipeline
#
step,detection_time_ms
1,0.495900
2,0.128500
3,0.072600
4,0.185200
5,0.193300
6,0.054700
7,0.051200
8,0.052100
9,0.059500
10,0.112500
11,0.078100
12,0.239000
13,0.073900
14,0.074100
15,0.067200
16,0.057000
17,0.051100
18,0.111500
19,0.079100
20,0.095700
21,0.060100
22,0.060600
23,0.079900
24,0.069400
25,0.083400
26,0.050200
27,0.105500
28,0.075900
29,0.071200
30,0.088000
31,0.100400
32,0.057300
33,0.050100
34,0.051200
35,0.062300
36,0.117500
37,0.062000
38,0.063500
39,0.057700
40,0.069600
41,0.052900
42,0.049900
43,0.062200
44,0.047600
45,0.104600
46,0.091800
47,0.078900
48,0.068500
49,0.065200
50,0.066900
51,0.061700
52,0.062700
53,0.065200
54,0.154700
55,0.065900
56,0.086700
57,0.057000
58,0.078100
59,0.067700
60,0.062100
61,0.054800
62,0.068700
63,0.072300
64,0.059300
65,0.065200
66,0.052300
67,0.086700
68,0.055300
69,0.060200
70,0.070400
71,0.149100
72,0.072100
73,0.213100
74,0.056000
75,0.054200
76,0.053100
77,0.056000
78,0.053000
79,0.056800
80,0.053600
81,0.054500
82,0.072500
83,0.071000
84,0.059200
85,0.059500
86,0.093800
87,0.088900
88,0.058100
89,0.167800
90,0.130800
91,0.063500
92,0.062300
93,0.096700
94,0.064400
95,0.097200
96,0.067100
97,0.157100
98,0.067100
99,0.061700
100,0.059800
101,0.056600
102,0.073400
103,0.056800
104,0.055000
105,0.062600
106,0.145300
107,0.085100
108,0.078700
109,0.051900
110,0.065100
111,0.061200
112,0.082300
113,0.068700
114,0.128400
115,0.059500
116,0.061600
117,0.058000
118,0.078700
119,0.067200
120,0.219500
121,0.215000
122,0.088200
123,0.075700
124,0.061400
125,0.090500
126,0.081200
127,0.087700
128,0.162700
129,0.117800
130,0.064700
131,0.055400
132,0.054200
133,0.065700
134,0.091000
135,0.174000
136,0.135100
137,0.075100
138,0.076500
139,0.105000
140,0.090100
141,0.059500
142,0.075500
143,0.083000
144,0.089200
145,0.057800
146,0.066400
147,0.125500
148,0.066700
149,0.065500
150,0.053900
151,0.133500
152,0.163600
153,0.078600
154,0.065100
155,0.086600
156,0.084100
157,0.079000
158,0.069000
159,0.069900
160,0.055700
161,0.065000
162,0.056800
163,0.054200
164,0.050100
165,0.050900
166,0.072000
167,0.058500
168,0.055500
169,0.101500
170,0.160400
171,0.060400
172,0.061000
173,0.051200
174,0.055100
175,0.062400
176,0.057400
177,0.074300
178,0.052100
179,0.058500
180,0.063800
181,0.056000
182,0.052300
183,0.058600
184,0.068700
185,0.065900
186,0.061500
187,0.080600
188,0.069700
189,0.060900
190,0.056100
191,0.063900
192,0.064500
193,0.055900
194,0.061700
195,0.064100
196,0.056900
197,0.074600
198,0.060100
199,0.064100
200,0.084700
201,0.057300
202,0.055300
203,0.060600
204,0.070000
205,0.053900
206,0.052000
207,0.048900
208,0.056600
209,0.076100
210,0.061200
211,0.049900
212,0.061200
213,0.061900
214,0.054600
215,0.051100
216,0.050600
217,0.154700
218,0.069400
219,0.067000
220,0.051100
221,0.079100
222,0.087700
223,0.100500
224,0.051800
225,0.050300
226,0.062300
227,0.051800
228,0.051000
229,0.051300
230,0.062600
231,0.072200
232,0.055500
233,0.054000
234,0.071700
235,0.073500
236,0.073000
237,0.052200
238,0.052200
239,0.050300
240,0.058700
241,0.056900
242,0.065900
243,0.052500
244,0.056500
245,0.057100
246,0.053000
247,0.101200
248,0.057300
249,0.061300
250,0.068700
251,0.055100
252,0.063200
253,0.050100
254,0.059400
255,0.053300
256,0.053400
257,0.051900
258,0.058100
259,0.057800
260,0.053500
261,0.065400
262,0.054100
263,0.074400
264,0.053900
265,0.053900
266,0.052100
267,0.054000
268,0.054600
269,0.055100
270,0.059000
271,0.062600
272,0.061200
273,0.056300
274,0.055800
275,0.111100
276,0.083700
277,0.061500
