# Contact-detection timing log
# label : ssim_pipeline
#
step,detection_time_ms
1,0.256700
2,0.132400
3,0.115900
4,0.046400
5,0.053000
6,0.068300
7,0.046300
8,0.041500
9,0.040600
10,0.038400
11,0.052000
12,0.064600
13,0.042700
14,0.044100
15,0.039600
16,0.087400
17,0.071900
18,0.055500
19,0.043600
20,0.043100
21,0.053200
22,0.044000
23,0.041800
24,0.040400
25,0.048900
26,0.045100
27,0.047700
28,0.044700
29,0.041600
30,0.058900
31,0.043200
32,0.040700
33,0.040100
34,0.041900
35,0.048200
36,0.077400
37,0.043800
38,0.039400
39,0.039900
40,0.055800
41,0.047200
42,0.048600
43,0.045100
44,0.049900
45,0.071500
46,0.043600
47,0.040100
48,0.041900
49,0.044300
50,0.057900
51,0.063500
52,0.044100
53,0.043400
54,0.054700
55,0.044400
56,0.041900
57,0.043200
58,0.043100
59,0.049100
60,0.055800
61,0.051300
62,0.043300
63,0.046900
64,0.042900
65,0.053400
66,0.044000
67,0.047800
68,0.048600
69,0.105200
70,0.042000
71,0.041200
72,0.040800
73,0.047000
74,0.110300
75,0.050100
76,0.048800
77,0.042500
78,0.040900
79,0.048800
80,0.052600
81,0.060100
82,0.046300
83,0.060500
84,0.045200
85,0.050800
86,0.053200
87,0.052600
88,0.057000
89,0.072000
90,0.043900
91,0.044700
92,0.045800
93,0.063500
94,0.046300
95,0.052500
96,0.043400
97,0.042900
98,0.048200
99,0.044300
100,0.049400
101,0.049100
102,0.054200
103,0.042300
104,0.041700
105,0.044000
106,0.041900
107,0.051100
108,0.047600
109,0.044300
110,0.042900
111,0.045400
112,0.345800
113,0.064000
114,0.060200
115,0.060000
116,0.053200
117,0.050500
118,0.055300
119,0.045200
120,0.048900
121,0.103000
122,0.047000
123,0.042300
124,0.054900
125,0.045300
126,0.050600
127,0.043600
128,0.041700
129,0.047500
130,0.055100
131,0.046800
132,0.042100
133,0.044600
134,0.040400
135,0.046700
136,0.062400
137,0.039600
138,0.048200
139,0.043900
140,0.054100
141,0.045700
142,0.042000
143,0.046600
144,0.043900
145,0.053000
146,0.050800
147,0.048700
148,0.044100
149,0.042500
150,0.057500
151,0.044500
152,0.044800
153,0.044000
154,0.050700
155,0.057500
156,0.046400
157,0.045800
158,0.045600
159,0.058800
160,0.054800
161,0.052500
162,0.043100
163,0.042900
164,0.053700
165,0.045500
166,0.043300
167,0.048800
168,0.046500
169,0.046900
170,0.042800
171,0.048600
172,0.043600
173,0.042000
174,0.060400
175,0.054600
176,0.048300
177,0.051600
178,0.048800
179,0.050600
180,0.046200
181,0.050600
182,0.046200
183,0.054800
184,0.095100
185,0.080200
186,0.073800
187,0.081500
188,0.068700
189,0.051400
190,0.044100
191,0.071700
192,0.054100
193,0.045800
194,0.045600
195,0.044000
196,0.042000
197,0.044700
198,0.062300
199,0.041400
200,0.041300
201,0.052900
202,0.057500
203,0.047500
204,0.039900
205,0.056500
206,0.052200
207,0.044900
208,0.042600
209,0.040400
210,0.042000
211,0.060600
212,0.044400
213,0.040900
214,0.048800
215,0.049200
216,0.054400
217,0.044400
218,0.043300
219,0.045100
220,0.077600
221,0.073000
222,0.046100
223,0.044200
224,0.042800
225,0.061000
226,0.044100
227,0.048200
228,0.043300
229,0.043400
230,0.065200
231,0.045000
232,0.052300
233,0.053900
234,0.089700
235,0.067000
236,0.056500
237,0.055600
238,0.055600
239,0.049000
240,0.066900
241,0.046500
242,0.043600
243,0.047200
244,0.059300
245,0.052200
246,0.043200
247,0.041500
248,0.054500
249,0.089300
250,0.057500
251,0.052900
252,0.058200
253,0.052500
254,0.051000
255,0.047200
256,0.044500
257,0.047400
258,0.056400
259,0.046100
260,0.044000
261,0.058100
262,0.047400
263,0.063100
264,0.045200
265,0.043200
266,0.042800
267,0.041700
268,0.047700
269,0.050800
270,0.044500
271,0.041400
272,0.050200
273,0.047700
274,0.043200
275,0.043600
276,0.044000
277,0.047200
278,0.074700
279,0.047900
280,0.042300
281,0.041200
282,0.043000
283,0.046000
284,0.043200
285,0.041900
286,0.053100
287,0.050100
288,0.045500
289,0.045400
290,0.042200
291,0.042800
292,0.100100
293,0.050900
294,0.050700
295,0.041700
296,0.042100
297,0.067200
298,0.044300
299,0.057500
